Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Month_Name,DayOfWeek
44,19/02/2023,CUST044,Female,22,Clothing,1,25,25,2023,2,February,Sunday
45,03/07/2023,CUST045,Female,55,Electronics,1,30,30,2023,7,July,Monday
46,26/06/2023,CUST046,Female,20,Electronics,4,300,1200,2023,6,June,Monday
47,06/11/2023,CUST047,Female,40,Beauty,3,500,1500,2023,11,November,Monday
48,16/05/2023,CUST048,Male,54,Electronics,3,300,900,2023,5,May,Tuesday
49,23/01/2023,CUST049,Female,54,Electronics,2,500,1000,2023,1,January,Monday
50,24/08/2023,CUST050,Female,27,Beauty,3,25,75,2023,8,August,Thursday
51,02/10/2023,CUST051,Male,27,Beauty,3,25,75,2023,10,October,Monday
52,05/03/2023,CUST052,Female,36,Beauty,1,300,300,2023,3,March,Sunday
53,13/07/2023,CUST053,Male,34,Electronics,2,50,100,2023,7,July,Thursday
54,10/02/2023,CUST054,Female,38,Electronics,3,500,1500,2023,2,February,Friday
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,2023,10,October,Tuesday
56,31/05/2023,CUST056,Female,26,Clothing,3,300,900,2023,5,May,Wednesday
57,18/11/2023,CUST057,Female,63,Beauty,1,30,30,2023,11,November,Saturday
58,13/11/2023,CUST058,Male,18,Clothing,4,300,1200,2023,11,November,Monday
59,05/07/2023,CUST059,Male,62,Clothing,1,50,50,2023,7,July,Wednesday
60,23/10/2023,CUST060,Male,30,Beauty,3,50,150,2023,10,October,Monday
61,09/04/2023,CUST061,Male,21,Beauty,4,50,200,2023,4,April,Sunday
62,27/12/2023,CUST062,Male,18,Beauty,2,50,100,2023,12,December,Wednesday
63,05/02/2023,CUST063,Male,57,Electronics,2,25,50,2023,2,February,Sunday
64,24/01/2023,CUST064,Male,49,Clothing,4,25,100,2023,1,January,Tuesday
65,05/12/2023,CUST065,Male,51,Electronics,4,500,2000,2023,12,December,Tuesday
66,27/04/2023,CUST066,Female,45,Electronics,1,30,30,2023,4,April,Thursday
67,29/05/2023,CUST067,Female,48,Beauty,4,300,1200,2023,5,May,Monday
68,10/02/2023,CUST068,Male,25,Electronics,1,300,300,2023,2,February,Friday
69,30/04/2023,CUST069,Female,56,Beauty,3,25,75,2023,4,April,Sunday
70,21/02/2023,CUST070,Female,43,Clothing,1,300,300,2023,2,February,Tuesday
71,14/07/2023,CUST071,Female,51,Beauty,4,25,100,2023,7,July,Friday
72,23/05/2023,CUST072,Female,20,Electronics,4,500,2000,2023,5,May,Tuesday
73,21/08/2023,CUST073,Male,29,Electronics,3,30,90,2023,8,August,Monday
74,22/11/2023,CUST074,Female,18,Beauty,4,500,2000,2023,11,November,Wednesday
75,06/07/2023,CUST075,Male,61,Beauty,4,50,200,2023,7,July,Thursday
76,25/03/2023,CUST076,Female,22,Electronics,2,50,100,2023,3,March,Saturday
77,09/07/2023,CUST077,Female,47,Clothing,2,50,100,2023,7,July,Sunday
78,01/07/2023,CUST078,Female,47,Clothing,3,500,1500,2023,7,July,Saturday
79,18/04/2023,CUST079,Male,34,Beauty,1,300,300,2023,4,April,Tuesday
80,10/12/2023,CUST080,Female,64,Clothing,2,30,60,2023,12,December,Sunday
81,17/05/2023,CUST081,Male,40,Electronics,1,50,50,2023,5,May,Wednesday
82,26/12/2023,CUST082,Female,32,Beauty,4,50,200,2023,12,December,Tuesday
83,16/12/2023,CUST083,Male,54,Electronics,2,50,100,2023,12,December,Saturday
84,28/11/2023,CUST084,Female,38,Electronics,3,30,90,2023,11,November,Tuesday
85,06/02/2023,CUST085,Male,31,Clothing,3,50,150,2023,2,February,Monday
86,08/11/2023,CUST086,Male,19,Beauty,3,30,90,2023,11,November,Wednesday
87,22/11/2023,CUST087,Female,28,Beauty,2,50,100,2023,11,November,Wednesday
88,29/03/2023,CUST088,Male,56,Clothing,1,500,500,2023,3,March,Wednesday
89,01/10/2023,CUST089,Female,55,Electronics,4,500,2000,2023,10,October,Sunday
90,06/05/2023,CUST090,Female,51,Electronics,1,30,30,2023,5,May,Saturday
91,25/03/2023,CUST091,Female,55,Electronics,1,500,500,2023,3,March,Saturday
92,25/08/2023,CUST092,Female,51,Electronics,4,30,120,2023,8,August,Friday
93,14/07/2023,CUST093,Female,35,Beauty,4,500,2000,2023,7,July,Friday
94,19/05/2023,CUST094,Female,47,Beauty,2,500,1000,2023,5,May,Friday
95,24/11/2023,CUST095,Female,32,Clothing,2,30,60,2023,11,November,Friday
96,19/12/2023,CUST096,Female,44,Clothing,2,300,600,2023,12,December,Tuesday
97,13/10/2023,CUST097,Female,51,Beauty,2,500,1000,2023,10,October,Friday
98,23/04/2023,CUST098,Female,55,Beauty,2,50,100,2023,4,April,Sunday
99,17/12/2023,CUST099,Female,50,Electronics,4,300,1200,2023,12,December,Sunday
100,16/06/2023,CUST100,Male,41,Electronics,1,30,30,2023,6,June,Friday
101,29/01/2023,CUST101,Male,32,Clothing,2,300,600,2023,1,January,Sunday
102,28/04/2023,CUST102,Female,47,Beauty,2,25,50,2023,4,April,Friday
103,17/01/2023,CUST103,Female,59,Clothing,1,25,25,2023,1,January,Tuesday
104,11/06/2023,CUST104,Female,34,Beauty,2,500,1000,2023,6,June,Sunday
105,25/07/2023,CUST105,Female,22,Electronics,1,500,500,2023,7,July,Tuesday
106,18/05/2023,CUST106,Female,46,Clothing,1,50,50,2023,5,May,Thursday
107,03/02/2023,CUST107,Female,21,Clothing,4,300,1200,2023,2,February,Friday
108,19/04/2023,CUST108,Female,27,Beauty,3,25,75,2023,4,April,Wednesday
109,18/10/2023,CUST109,Female,34,Electronics,4,500,2000,2023,10,October,Wednesday
110,11/06/2023,CUST110,Male,27,Clothing,3,300,900,2023,6,June,Sunday
111,19/04/2023,CUST111,Female,34,Electronics,3,500,1500,2023,4,April,Wednesday
112,02/12/2023,CUST112,Male,37,Clothing,3,500,1500,2023,12,December,Saturday
113,13/09/2023,CUST113,Female,41,Electronics,2,25,50,2023,9,September,Wednesday
114,22/07/2023,CUST114,Female,22,Beauty,4,25,100,2023,7,July,Saturday
115,26/11/2023,CUST115,Male,51,Clothing,3,500,1500,2023,11,November,Sunday
116,23/08/2023,CUST116,Female,23,Clothing,1,30,30,2023,8,August,Wednesday
117,15/03/2023,CUST117,Male,19,Electronics,2,500,1000,2023,3,March,Wednesday
118,16/05/2023,CUST118,Female,30,Electronics,4,500,2000,2023,5,May,Tuesday
119,13/03/2023,CUST119,Female,60,Clothing,3,50,150,2023,3,March,Monday
120,07/05/2023,CUST120,Male,60,Beauty,1,50,50,2023,5,May,Sunday
121,15/10/2023,CUST121,Female,28,Electronics,4,50,200,2023,10,October,Sunday
122,03/10/2023,CUST122,Male,64,Electronics,4,30,120,2023,10,October,Tuesday
123,15/05/2023,CUST123,Female,40,Electronics,2,30,60,2023,5,May,Monday
124,27/10/2023,CUST124,Male,33,Clothing,4,500,2000,2023,10,October,Friday
125,08/08/2023,CUST125,Male,48,Clothing,2,50,100,2023,8,August,Tuesday
126,26/10/2023,CUST126,Female,28,Clothing,3,30,90,2023,10,October,Thursday
127,24/07/2023,CUST127,Female,33,Clothing,2,25,50,2023,7,July,Monday
128,05/07/2023,CUST128,Male,25,Beauty,1,500,500,2023,7,July,Wednesday
129,23/04/2023,CUST129,Female,21,Beauty,2,300,600,2023,4,April,Sunday
130,12/03/2023,CUST130,Female,57,Clothing,1,500,500,2023,3,March,Sunday
131,18/09/2023,CUST131,Female,21,Beauty,2,300,600,2023,9,September,Monday
132,10/09/2023,CUST132,Male,42,Electronics,4,50,200,2023,9,September,Sunday
133,16/02/2023,CUST133,Male,20,Electronics,3,300,900,2023,2,February,Thursday
134,25/01/2023,CUST134,Male,49,Electronics,1,50,50,2023,1,January,Wednesday
135,26/02/2023,CUST135,Male,20,Clothing,2,25,50,2023,2,February,Sunday
136,20/03/2023,CUST136,Male,44,Electronics,2,300,600,2023,3,March,Monday
137,18/11/2023,CUST137,Male,46,Beauty,2,500,1000,2023,11,November,Saturday
138,23/03/2023,CUST138,Male,49,Clothing,4,50,200,2023,3,March,Thursday
139,15/12/2023,CUST139,Male,36,Beauty,4,500,2000,2023,12,December,Friday
140,05/08/2023,CUST140,Male,38,Electronics,1,30,30,2023,8,August,Saturday
141,02/11/2023,CUST141,Female,22,Electronics,1,50,50,2023,11,November,Thursday
142,02/02/2023,CUST142,Male,35,Electronics,4,300,1200,2023,2,February,Thursday
143,17/07/2023,CUST143,Female,45,Clothing,1,50,50,2023,7,July,Monday
144,15/07/2023,CUST144,Female,59,Beauty,3,500,1500,2023,7,July,Saturday
145,02/11/2023,CUST145,Female,39,Clothing,3,25,75,2023,11,November,Thursday
146,28/08/2023,CUST146,Male,38,Clothing,4,50,200,2023,8,August,Monday
147,28/09/2023,CUST147,Male,23,Electronics,1,300,300,2023,9,September,Thursday
148,09/05/2023,CUST148,Male,18,Clothing,2,30,60,2023,5,May,Tuesday
149,11/10/2023,CUST149,Male,22,Clothing,3,25,75,2023,10,October,Wednesday
150,06/01/2023,CUST150,Female,58,Electronics,4,30,120,2023,1,January,Friday
151,15/12/2023,CUST151,Male,29,Clothing,1,50,50,2023,12,December,Friday
152,28/02/2023,CUST152,Male,43,Electronics,4,500,2000,2023,2,February,Tuesday
153,16/12/2023,CUST153,Male,63,Electronics,2,500,1000,2023,12,December,Saturday
154,02/10/2023,CUST154,Male,51,Electronics,3,300,900,2023,10,October,Monday
155,17/05/2023,CUST155,Male,31,Electronics,4,500,2000,2023,5,May,Wednesday
156,25/11/2023,CUST156,Female,43,Clothing,4,25,100,2023,11,November,Saturday
157,24/06/2023,CUST157,Male,62,Electronics,4,500,2000,2023,6,June,Saturday
158,27/02/2023,CUST158,Female,44,Electronics,2,300,600,2023,2,February,Monday
159,31/05/2023,CUST159,Male,26,Clothing,4,50,200,2023,5,May,Wednesday
160,11/08/2023,CUST160,Female,43,Clothing,2,50,100,2023,8,August,Friday
161,22/03/2023,CUST161,Male,64,Beauty,2,500,1000,2023,3,March,Wednesday
162,21/08/2023,CUST162,Male,39,Clothing,2,30,60,2023,8,August,Monday
163,02/01/2023,CUST163,Female,64,Clothing,3,50,150,2023,1,January,Monday
164,15/05/2023,CUST164,Female,47,Beauty,3,500,1500,2023,5,May,Monday
165,14/09/2023,CUST165,Female,60,Clothing,4,300,1200,2023,9,September,Thursday
166,02/04/2023,CUST166,Male,34,Clothing,4,500,2000,2023,4,April,Sunday
167,17/09/2023,CUST167,Female,43,Clothing,3,50,150,2023,9,September,Sunday
168,24/02/2023,CUST168,Male,53,Clothing,1,300,300,2023,2,February,Friday
169,17/11/2023,CUST169,Male,18,Beauty,3,500,1500,2023,11,November,Friday
170,02/06/2023,CUST170,Female,25,Clothing,2,25,50,2023,6,June,Friday
171,24/11/2023,CUST171,Female,52,Clothing,3,300,900,2023,11,November,Friday
172,17/09/2023,CUST172,Male,32,Beauty,2,25,50,2023,9,September,Sunday
173,08/11/2023,CUST173,Male,64,Electronics,4,30,120,2023,11,November,Wednesday
174,12/04/2023,CUST174,Female,39,Beauty,1,300,300,2023,4,April,Wednesday
175,20/03/2023,CUST175,Female,31,Electronics,4,25,100,2023,3,March,Monday
176,11/07/2023,CUST176,Female,43,Beauty,2,50,100,2023,7,July,Tuesday
177,24/03/2023,CUST177,Male,45,Beauty,2,50,100,2023,3,March,Friday
178,04/10/2023,CUST178,Male,40,Clothing,2,30,60,2023,10,October,Wednesday
179,29/09/2023,CUST179,Male,31,Electronics,1,300,300,2023,9,September,Friday
180,01/01/2023,CUST180,Male,41,Clothing,3,300,900,2023,1,January,Sunday
181,03/11/2023,CUST181,Male,19,Electronics,4,300,1200,2023,11,November,Friday
182,15/06/2023,CUST182,Male,62,Beauty,4,30,120,2023,6,June,Thursday
183,08/09/2023,CUST183,Female,43,Beauty,3,300,900,2023,9,September,Friday
184,10/01/2023,CUST184,Male,31,Electronics,4,50,200,2023,1,January,Tuesday
185,27/02/2023,CUST185,Male,24,Clothing,1,25,25,2023,2,February,Monday
186,05/07/2023,CUST186,Male,20,Clothing,4,50,200,2023,7,July,Wednesday
187,07/06/2023,CUST187,Female,64,Clothing,2,50,100,2023,6,June,Wednesday
188,03/05/2023,CUST188,Male,40,Clothing,3,25,75,2023,5,May,Wednesday
189,30/01/2023,CUST189,Male,63,Beauty,1,50,50,2023,1,January,Monday
190,04/05/2023,CUST190,Female,60,Beauty,3,30,90,2023,5,May,Thursday
191,18/10/2023,CUST191,Male,64,Beauty,1,25,25,2023,10,October,Wednesday
192,10/02/2023,CUST192,Male,62,Beauty,2,50,100,2023,2,February,Friday
193,13/02/2023,CUST193,Male,35,Beauty,3,500,1500,2023,2,February,Monday
194,06/09/2023,CUST194,Male,55,Clothing,4,50,200,2023,9,September,Wednesday
195,05/02/2023,CUST195,Male,52,Clothing,1,30,30,2023,2,February,Sunday
196,30/09/2023,CUST196,Female,32,Clothing,3,300,900,2023,9,September,Saturday
197,06/03/2023,CUST197,Female,42,Clothing,4,50,200,2023,3,March,Monday
198,07/03/2023,CUST198,Female,54,Beauty,3,300,900,2023,3,March,Tuesday
199,04/12/2023,CUST199,Male,45,Beauty,3,500,1500,2023,12,December,Monday
200,01/09/2023,CUST200,Male,27,Beauty,3,50,150,2023,9,September,Friday
201,09/10/2023,CUST201,Male,56,Electronics,1,25,25,2023,10,October,Monday
202,26/03/2023,CUST202,Female,34,Clothing,4,300,1200,2023,3,March,Sunday
203,16/05/2023,CUST203,Male,56,Clothing,2,500,1000,2023,5,May,Tuesday
204,28/09/2023,CUST204,Male,39,Beauty,1,25,25,2023,9,September,Thursday
205,07/11/2023,CUST205,Female,43,Clothing,1,25,25,2023,11,November,Tuesday
206,05/08/2023,CUST206,Male,61,Clothing,1,25,25,2023,8,August,Saturday
207,19/04/2023,CUST207,Female,42,Beauty,2,25,50,2023,4,April,Wednesday
208,04/10/2023,CUST208,Female,34,Electronics,4,50,200,2023,10,October,Wednesday
209,20/12/2023,CUST209,Female,30,Electronics,4,50,200,2023,12,December,Wednesday
210,13/04/2023,CUST210,Male,37,Electronics,4,50,200,2023,4,April,Thursday
211,01/01/2024,CUST211,Male,42,Beauty,3,500,1500,2024,1,January,Monday
212,09/06/2023,CUST212,Male,21,Clothing,3,500,1500,2023,6,June,Friday
213,24/07/2023,CUST213,Male,27,Beauty,3,500,1500,2023,7,July,Monday
214,10/12/2023,CUST214,Male,20,Beauty,2,30,60,2023,12,December,Sunday
215,29/11/2023,CUST215,Male,58,Clothing,3,500,1500,2023,11,November,Wednesday
216,11/07/2023,CUST216,Male,62,Electronics,2,50,100,2023,7,July,Tuesday
217,13/08/2023,CUST217,Female,35,Electronics,4,50,200,2023,8,August,Sunday
218,22/09/2023,CUST218,Male,64,Beauty,3,30,90,2023,9,September,Friday
219,20/08/2023,CUST219,Female,53,Electronics,3,30,90,2023,8,August,Sunday
220,03/03/2023,CUST220,Male,64,Beauty,1,500,500,2023,3,March,Friday
221,07/05/2023,CUST221,Male,39,Beauty,2,300,600,2023,5,May,Sunday
222,26/04/2023,CUST222,Male,51,Clothing,4,30,120,2023,4,April,Wednesday
223,02/02/2023,CUST223,Female,64,Clothing,1,25,25,2023,2,February,Thursday
224,23/06/2023,CUST224,Female,25,Clothing,1,50,50,2023,6,June,Friday
225,11/01/2023,CUST225,Female,57,Beauty,4,25,100,2023,1,January,Wednesday
226,29/10/2023,CUST226,Female,61,Clothing,1,50,50,2023,10,October,Sunday
227,11/10/2023,CUST227,Male,36,Electronics,2,50,100,2023,10,October,Wednesday
228,28/04/2023,CUST228,Female,59,Electronics,2,30,60,2023,4,April,Friday
229,29/10/2023,CUST229,Male,58,Beauty,3,30,90,2023,10,October,Sunday
230,23/04/2023,CUST230,Male,54,Beauty,1,25,25,2023,4,April,Sunday
231,04/01/2023,CUST231,Female,23,Clothing,3,50,150,2023,1,January,Wednesday
232,06/02/2023,CUST232,Female,43,Beauty,1,25,25,2023,2,February,Monday
233,29/12/2023,CUST233,Female,51,Beauty,2,300,600,2023,12,December,Friday
234,20/11/2023,CUST234,Female,62,Electronics,2,25,50,2023,11,November,Monday
235,31/01/2023,CUST235,Female,23,Electronics,2,500,1000,2023,1,January,Tuesday
236,28/04/2023,CUST236,Female,54,Clothing,1,25,25,2023,4,April,Friday
237,04/02/2023,CUST237,Female,50,Beauty,2,500,1000,2023,2,February,Saturday
238,17/01/2023,CUST238,Female,39,Beauty,1,500,500,2023,1,January,Tuesday
239,19/06/2023,CUST239,Male,38,Electronics,3,500,1500,2023,6,June,Monday
240,06/02/2023,CUST240,Female,23,Beauty,1,300,300,2023,2,February,Monday
241,21/09/2023,CUST241,Female,23,Electronics,3,25,75,2023,9,September,Thursday
242,02/05/2023,CUST242,Male,21,Clothing,1,25,25,2023,5,May,Tuesday
243,23/05/2023,CUST243,Female,47,Electronics,3,300,900,2023,5,May,Tuesday
244,09/12/2023,CUST244,Male,28,Beauty,2,50,100,2023,12,December,Saturday
245,06/09/2023,CUST245,Male,47,Clothing,3,30,90,2023,9,September,Wednesday
246,20/04/2023,CUST246,Female,48,Electronics,2,25,50,2023,4,April,Thursday
247,04/10/2023,CUST247,Male,41,Electronics,2,30,60,2023,10,October,Wednesday
248,09/03/2023,CUST248,Male,26,Clothing,3,300,900,2023,3,March,Thursday
249,20/10/2023,CUST249,Male,20,Clothing,1,50,50,2023,10,October,Friday
250,23/10/2023,CUST250,Male,48,Electronics,1,50,50,2023,10,October,Monday
251,31/08/2023,CUST251,Female,57,Beauty,4,50,200,2023,8,August,Thursday
252,05/05/2023,CUST252,Male,54,Electronics,1,300,300,2023,5,May,Friday
253,31/08/2023,CUST253,Female,53,Clothing,4,500,2000,2023,8,August,Thursday
254,28/07/2023,CUST254,Male,41,Electronics,1,500,500,2023,7,July,Friday
255,08/04/2023,CUST255,Male,48,Clothing,1,30,30,2023,4,April,Saturday
256,18/02/2023,CUST256,Male,23,Clothing,2,500,1000,2023,2,February,Saturday
257,19/02/2023,CUST257,Male,19,Beauty,4,500,2000,2023,2,February,Sunday
258,04/12/2023,CUST258,Female,37,Clothing,1,50,50,2023,12,December,Monday
259,09/08/2023,CUST259,Female,45,Clothing,4,50,200,2023,8,August,Wednesday
260,01/07/2023,CUST260,Male,28,Beauty,2,30,60,2023,7,July,Saturday
261,05/08/2023,CUST261,Male,21,Clothing,2,25,50,2023,8,August,Saturday
262,30/07/2023,CUST262,Female,32,Beauty,4,30,120,2023,7,July,Sunday
263,28/08/2023,CUST263,Male,23,Beauty,2,30,60,2023,8,August,Monday
264,28/01/2023,CUST264,Male,47,Clothing,3,300,900,2023,1,January,Saturday
265,11/12/2023,CUST265,Male,55,Clothing,3,300,900,2023,12,December,Monday
266,01/12/2023,CUST266,Female,19,Electronics,2,30,60,2023,12,December,Friday
267,27/11/2023,CUST267,Female,32,Beauty,3,30,90,2023,11,November,Monday
268,20/02/2023,CUST268,Female,28,Electronics,1,30,30,2023,2,February,Monday
269,01/02/2023,CUST269,Male,25,Clothing,4,500,2000,2023,2,February,Wednesday
270,26/07/2023,CUST270,Male,43,Electronics,1,300,300,2023,7,July,Wednesday
271,23/06/2023,CUST271,Female,62,Beauty,4,30,120,2023,6,June,Friday
272,25/02/2023,CUST272,Female,61,Electronics,2,50,100,2023,2,February,Saturday
273,08/05/2023,CUST273,Female,22,Beauty,1,50,50,2023,5,May,Monday
274,09/04/2023,CUST274,Female,23,Clothing,2,500,1000,2023,4,April,Sunday
275,08/04/2023,CUST275,Male,43,Clothing,2,500,1000,2023,4,April,Saturday
276,02/10/2023,CUST276,Female,21,Beauty,4,25,100,2023,10,October,Monday
277,18/08/2023,CUST277,Male,36,Clothing,4,25,100,2023,8,August,Friday
278,13/03/2023,CUST278,Female,37,Clothing,4,25,100,2023,3,March,Monday
279,05/08/2023,CUST279,Male,50,Clothing,1,500,500,2023,8,August,Saturday
280,04/04/2023,CUST280,Female,37,Clothing,3,500,1500,2023,4,April,Tuesday
281,23/05/2023,CUST281,Female,29,Beauty,4,500,2000,2023,5,May,Tuesday
282,25/08/2023,CUST282,Female,64,Electronics,4,50,200,2023,8,August,Friday
283,08/05/2023,CUST283,Female,18,Electronics,1,500,500,2023,5,May,Monday
284,08/02/2023,CUST284,Male,43,Clothing,4,50,200,2023,2,February,Wednesday
285,15/08/2023,CUST285,Female,31,Electronics,1,25,25,2023,8,August,Tuesday
286,09/10/2023,CUST286,Male,55,Electronics,2,25,50,2023,10,October,Monday
287,20/02/2023,CUST287,Male,54,Clothing,4,25,100,2023,2,February,Monday
288,26/01/2023,CUST288,Male,28,Clothing,4,30,120,2023,1,January,Thursday
289,30/11/2023,CUST289,Male,53,Electronics,2,30,60,2023,11,November,Thursday
290,04/10/2023,CUST290,Female,30,Beauty,2,300,600,2023,10,October,Wednesday
291,08/01/2023,CUST291,Male,60,Clothing,2,300,600,2023,1,January,Sunday
292,17/02/2023,CUST292,Male,20,Beauty,4,300,1200,2023,2,February,Friday
293,02/05/2023,CUST293,Male,50,Electronics,3,30,90,2023,5,May,Tuesday
294,27/03/2023,CUST294,Female,23,Clothing,3,30,90,2023,3,March,Monday
295,28/07/2023,CUST295,Female,27,Beauty,3,300,900,2023,7,July,Friday
296,06/09/2023,CUST296,Female,22,Clothing,4,300,1200,2023,9,September,Wednesday
297,04/09/2023,CUST297,Female,40,Electronics,2,500,1000,2023,9,September,Monday
298,20/04/2023,CUST298,Male,27,Beauty,4,300,1200,2023,4,April,Thursday
299,25/07/2023,CUST299,Male,61,Electronics,2,500,1000,2023,7,July,Tuesday
300,31/01/2023,CUST300,Female,19,Electronics,4,50,200,2023,1,January,Tuesday
301,26/03/2023,CUST301,Male,30,Clothing,4,30,120,2023,3,March,Sunday
302,14/07/2023,CUST302,Male,57,Beauty,2,300,600,2023,7,July,Friday
303,02/01/2023,CUST303,Male,19,Electronics,3,30,90,2023,1,January,Monday
304,19/07/2023,CUST304,Female,37,Electronics,2,30,60,2023,7,July,Wednesday
305,16/05/2023,CUST305,Female,18,Beauty,1,30,30,2023,5,May,Tuesday
306,21/08/2023,CUST306,Male,54,Electronics,1,50,50,2023,8,August,Monday
307,27/05/2023,CUST307,Female,26,Electronics,2,25,50,2023,5,May,Saturday
308,05/08/2023,CUST308,Female,34,Beauty,4,300,1200,2023,8,August,Saturday
309,23/12/2023,CUST309,Female,26,Beauty,1,25,25,2023,12,December,Saturday
310,12/10/2023,CUST310,Female,28,Beauty,1,25,25,2023,10,October,Thursday
311,05/12/2023,CUST311,Female,32,Beauty,4,25,100,2023,12,December,Tuesday
312,07/09/2023,CUST312,Male,41,Clothing,4,30,120,2023,9,September,Thursday
313,21/03/2023,CUST313,Female,55,Beauty,3,500,1500,2023,3,March,Tuesday
314,08/04/2023,CUST314,Male,52,Clothing,4,30,120,2023,4,April,Saturday
315,01/06/2023,CUST315,Male,47,Clothing,2,30,60,2023,6,June,Thursday
316,22/04/2023,CUST316,Female,48,Clothing,2,25,50,2023,4,April,Saturday
317,30/01/2023,CUST317,Male,22,Electronics,3,30,90,2023,1,January,Monday
318,24/10/2023,CUST318,Male,61,Clothing,1,25,25,2023,10,October,Tuesday
319,05/10/2023,CUST319,Male,31,Clothing,1,500,500,2023,10,October,Thursday
320,01/02/2023,CUST320,Female,28,Electronics,4,300,1200,2023,2,February,Wednesday
321,10/06/2023,CUST321,Female,26,Electronics,2,25,50,2023,6,June,Saturday
322,30/01/2023,CUST322,Male,51,Electronics,1,500,500,2023,1,January,Monday
323,26/01/2023,CUST323,Female,29,Beauty,3,300,900,2023,1,January,Thursday
324,27/10/2023,CUST324,Female,52,Electronics,3,50,150,2023,10,October,Friday
325,02/09/2023,CUST325,Female,52,Electronics,2,25,50,2023,9,September,Saturday
326,15/09/2023,CUST326,Female,18,Clothing,3,25,75,2023,9,September,Friday
327,29/09/2023,CUST327,Male,57,Electronics,3,50,150,2023,9,September,Friday
328,22/03/2023,CUST328,Male,39,Beauty,2,50,100,2023,3,March,Wednesday
